occ_code,occ_title,tot_emp,h_median,a_median
17-3026,Industrial Engineering Technicians,"66,540",26.66,"55,460"
17-3027,Mechanical Engineering Technicians,"41,460",27.04,"56,250"
17-3029,"Engineering Technicians, Except Drafters, All Other","83,360",30.38,"63,200"
17-3031,Surveying and Mapping Technicians,"52,300",21.34,"44,380"
19-1011,Animal Scientists,"2,530",28.07,"58,380"
19-1012,Food Scientists and Technologists,"13,330",31.39,"65,300"
19-1013,Soil and Plant Scientists,"15,010",30.74,"63,950"
19-1021,Biochemists and Biophysicists,"28,500",44.85,"93,280"
19-1022,Microbiologists,"20,030",34.45,"71,650"
19-1023,Zoologists and Wildlife Biologists,"17,860",30.49,"63,420"
19-1029,"Biological Scientists, All Other","42,640",38.27,"79,590"
19-1031,Conservation Scientists,"22,200",29.48,"61,310"
19-1032,Foresters,"8,410",29.53,"61,410"
19-1041,Epidemiologists,"7,060",33.49,"69,660"
19-1042,"Medical Scientists, Except Epidemiologists","120,320",40.77,"84,810"
19-2011,Astronomers,"2,160",50.81,"105,680"
19-2012,Physicists,"17,620",58.15,"120,950"
19-2021,Atmospheric and Space Scientists,"9,310",45.25,"94,110"
19-2031,Chemists,"84,560",36.97,"76,890"
19-2032,Materials Scientists,"7,730",47.98,"99,800"
19-2041,"Environmental Scientists and Specialists, Including Health","80,480",34.20,"71,130"
19-2042,"Geoscientists, Except Hydrologists and Geographers","29,260",43.81,"91,130"
19-2043,Hydrologists,"6,290",38.16,"79,370"
19-2099,"Physical Scientists, All Other","17,380",51.55,"107,230"
19-3011,Economists,"18,650",50.16,"104,340"
19-3022,Survey Researchers,"11,690",27.74,"57,700"
19-3031,"Clinical, Counseling, and School Psychologists","110,490",37.01,"76,990"
19-3032,Industrial-Organizational Psychologists,780,46.76,"97,260"
19-3039,"Psychologists, All Other","13,480",48.45,"100,770"
19-3041,Sociologists,"2,710",39.45,"82,050"
19-3051,Urban and Regional Planners,"37,840",35.12,"73,050"
19-3091,Anthropologists and Archeologists,"6,020",30.01,"62,410"
19-3092,Geographers,"1,390",38.60,"80,300"
19-3093,Historians,"3,040",29.40,"61,140"
19-3094,Political Scientists,"5,660",56.52,"117,570"
19-3099,"Social Scientists and Related Workers, All Other","35,530",39.11,"81,340"
19-4011,Agricultural and Food Science Technicians,"21,290",19.65,"40,860"
19-4021,Biological Technicians,"77,450",21.39,"44,500"
19-4031,Chemical Technicians,"65,500",23.15,"48,160"
19-4041,Geological and Petroleum Technicians,"15,060",25.62,"53,300"
19-4051,Nuclear Technicians,"7,230",38.05,"79,140"
19-4061,Social Science Research Assistants,"34,550",22.42,"46,640"
19-4091,"Environmental Science and Protection Technicians, Including Health","32,600",22.20,"46,170"
19-4092,Forensic Science Technicians,"15,970",27.99,"58,230"
19-4093,Forest and Conservation Technicians,"30,220",17.88,"37,180"
19-4099,"Life, Physical, and Social Science Technicians, All Other","65,220",23.88,"49,670"
21-1012,"Educational, Guidance, School, and Vocational Counselors","285,460",27.07,"56,310"
21-1013,Marriage and Family Therapists,"48,520",24.08,"50,090"
21-1015,Rehabilitation Counselors,"106,860",17.13,"35,630"
21-1021,"Child, Family, and School Social Workers","320,170",22.24,"46,270"
21-1022,Healthcare Social Workers,"168,190",27.02,"56,200"
21-1023,Mental Health and Substance Abuse Social Workers,"116,750",21.56,"44,840"
21-1091,Health Educators,"58,780",26.07,"54,220"
21-1092,Probation Officers and Correctional Treatment Specialists,"87,660",25.49,"53,020"
21-1093,Social and Human Service Assistants,"392,300",16.22,"33,750"
21-2011,Clergy,"50,960",23.55,"48,990"
21-2021,"Directors, Religious Activities and Education","21,700",19.62,"40,810"
23-1011,Lawyers,"642,750",58.13,"120,910"
23-1012,Judicial Law Clerks,"16,350",25.74,"53,540"
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","14,280",48.00,"99,850"
23-1022,"Arbitrators, Mediators, and Conciliators","6,240",29.94,"62,270"
23-1023,"Judges, Magistrate Judges, and Magistrates","28,520",64.39,"133,920"
23-2011,Paralegals and Legal Assistants,"309,940",24.49,"50,940"
23-2091,Court Reporters,"14,490",27.48,"57,150"
23-2093,"Title Examiners, Abstractors, and Searchers","52,180",22.66,"47,130"
25-1000,Postsecondary Teachers,"1,517,100",*,"69,530"
25-2011,"Preschool Teachers, Except Special Education","424,520",14.32,"29,780"
25-2012,"Kindergarten Teachers, Except Special Education","131,160",*,"55,470"
25-2021,"Elementary School Teachers, Except Special Education","1,410,970",*,"58,230"
25-2022,"Middle School Teachers, Except Special and Career/Technical Education","609,970",*,"58,600"
25-2023,"Career/Technical Education Teachers, Middle School","11,940",*,"59,230"
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","1,051,570",*,"60,320"
25-2032,"Career/Technical Education Teachers, Secondary School","77,460",*,"60,250"
25-2053,"Special Education Teachers, Middle School","87,870",*,"60,250"
25-2054,"Special Education Teachers, Secondary School","142,360",*,"60,600"
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"57,750",25.79,"53,630"
25-3021,Self-Enrichment Education Teachers,"243,080",18.62,"38,720"
25-4011,Archivists,"6,370",25.11,"52,240"
25-4012,Curators,"12,280",25.86,"53,780"
25-4013,Museum Technicians and Conservators,"13,100",20.68,"43,020"
25-4021,Librarians,"125,750",28.39,"59,050"
25-4031,Library Technicians,"88,690",16.37,"34,040"
25-9011,Audio-Visual and Multimedia Collections Specialists,"9,540",23.85,"49,600"
25-9021,Farm and Home Management Advisors,"8,020",23.96,"49,840"
25-9031,Instructional Coordinators,"163,900",30.98,"64,450"
25-9041,Teacher Assistants,"1,331,560",*,"26,970"
27-1011,Art Directors,"40,210",44.60,"92,780"
27-1012,Craft Artists,"3,980",16.46,"34,240"
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","11,620",23.74,"49,380"
27-1014,Multimedia Artists and Animators,"28,560",34.87,"72,520"
27-1021,Commercial and Industrial Designers,"33,200",32.01,"66,590"
27-1022,Fashion Designers,"19,750",34.96,"72,720"
27-1023,Floral Designers,"43,360",13.08,"27,200"
27-1024,Graphic Designers,"217,810",24.21,"50,370"
27-1025,Interior Designers,"57,070",25.66,"53,370"
27-1026,Merchandise Displayers and Window Trimmers,"128,960",13.68,"28,450"
27-1027,Set and Exhibit Designers,"10,590",26.09,"54,270"
27-2011,Actors,"47,430",17.54,*
27-2012,Producers and Directors,"118,630",34.46,"71,680"
27-2021,Athletes and Sports Competitors,"10,800",*,"50,650"
27-2022,Coaches and Scouts,"236,970",*,"33,780"
27-2023,"Umpires, Referees, and Other Sports Officials","19,090",*,"27,020"
27-2031,Dancers,"9,720",16.31,*
27-2032,Choreographers,"5,090",22.98,"47,800"
27-2041,Music Directors and Composers,"12,160",23.86,"49,630"
27-2042,Musicians and Singers,"41,680",28.15,*
27-3011,Radio and Television Announcers,"27,780",15.97,"33,220"
27-3012,Public Address System and Other Announcers,"7,480",13.33,"27,720"
27-3021,Broadcast News Analysts,"5,890",32.15,"66,880"
27-3022,Reporters and Correspondents,"37,140",19.84,"41,260"
27-3031,Public Relations Specialists,"239,030",28.85,"60,000"
27-3041,Editors,"95,750",28.60,"59,480"
27-3042,Technical Writers,"50,350",34.54,"71,850"
27-3043,Writers and Authors,"45,210",29.89,"62,170"
27-3091,Interpreters and Translators,"57,140",24.00,"49,930"
27-4011,Audio and Video Equipment Technicians,"75,940",21.04,"43,770"
27-4012,Broadcast Technicians,"31,580",19.27,"40,080"
27-4013,Radio Operators,870,20.30,"42,220"
27-4014,Sound Engineering Technicians,"13,510",25.19,"52,390"
27-4021,Photographers,"49,560",16.35,"34,000"
27-4031,"Camera Operators, Television, Video, and Motion Picture","21,080",26.24,"54,570"
27-4032,Film and Video Editors,"28,160",30.12,"62,650"
29-1011,Chiropractors,"34,740",34.33,"71,410"
29-1021,"Dentists, General","113,000",73.00,"151,850"
29-1022,Oral and Maxillofacial Surgeons,"4,830",#,#
29-1023,Orthodontists,"5,350",#,#
29-1024,Prosthodontists,380,84.88,"176,540"
29-1031,Dietitians and Nutritionists,"64,670",29.02,"60,370"
29-1041,Optometrists,"37,220",53.75,"111,790"
29-1051,Pharmacists,"309,550",60.64,"126,120"
29-1060,Physicians and Surgeons,"679,280",#,#
29-1071,Physician Assistants,"114,710",52.22,"108,610"
29-1081,Podiatrists,"9,500",62.28,"129,550"
29-1122,Occupational Therapists,"126,900",40.51,"84,270"
29-1123,Physical Therapists,"228,600",42.27,"87,930"
29-1124,Radiation Therapists,"18,260",39.58,"82,330"
29-1125,Recreational Therapists,"18,840",23.01,"47,860"
29-1126,Respiratory Therapists,"129,600",28.98,"60,280"
29-1127,Speech-Language Pathologists,"146,900",37.26,"77,510"
29-1131,Veterinarians,"71,060",45.11,"93,830"
29-1181,Audiologists,"13,300",36.50,"75,920"
29-1199,"Health Diagnosing and Treating Practitioners, All Other","36,680",35.56,"73,960"
29-2021,Dental Hygienists,"215,150",35.97,"74,820"
29-2031,Cardiovascular Technologists and Technicians,"56,560",27.33,"56,850"
29-2032,Diagnostic Medical Sonographers,"71,130",34.86,"72,510"
29-2033,Nuclear Medicine Technologists,"18,810",36.93,"76,820"
29-2041,Emergency Medical Technicians and Paramedics,"257,210",16.50,"34,320"
29-2051,Dietetic Technicians,"33,540",13.05,"27,140"
29-2052,Pharmacy Technicians,"417,860",15.72,"32,700"
29-2053,Psychiatric Technicians,"71,360",15.80,"32,870"
29-2054,Respiratory Therapy Technicians,"9,090",24.62,"51,210"
29-2055,Surgical Technologists,"110,160",22.74,"47,300"
29-2056,Veterinary Technologists and Technicians,"106,680",16.55,"34,420"
29-2061,Licensed Practical and Licensed Vocational Nurses,"701,690",22.23,"46,240"
29-2071,Medical Records and Health Information Technicians,"208,650",19.40,"40,350"
29-2081,"Opticians, Dispensing","72,250",17.80,"37,010"
29-2091,Orthotists and Prosthetists,"8,830",33.23,"69,120"
29-9011,Occupational Health and Safety Specialists,"88,390",35.11,"73,020"
29-9012,Occupational Health and Safety Technicians,"18,020",24.41,"50,780"
29-9091,Athletic Trainers,"26,890",*,"47,510"
31-1011,Home Health Aides,"797,670",11.63,"24,200"
31-1013,Psychiatric Aides,"56,910",14.03,"29,180"
31-2011,Occupational Therapy Assistants,"42,660",28.95,"60,220"
31-2012,Occupational Therapy Aides,"7,700",13.54,"28,160"
31-2021,Physical Therapist Assistants,"94,250",27.91,"58,040"
31-2022,Physical Therapist Aides,"47,260",12.62,"26,240"
31-9011,Massage Therapists,"105,160",19.92,"41,420"
31-9091,Dental Assistants,"341,060",18.59,"38,660"
31-9092,Medical Assistants,"673,660",16.16,"33,610"
31-9093,Medical Equipment Preparers,"55,610",17.42,"36,240"
31-9094,Medical Transcriptionists,"53,730",16.72,"34,770"
31-9095,Pharmacy Aides,"36,970",12.72,"26,450"
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,"89,480",13.24,"27,540"
33-1011,First-Line Supervisors of Correctional Officers,"43,760",30.45,"63,340"
33-1012,First-Line Supervisors of Police and Detectives,"116,660",42.80,"89,030"
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,"65,920",36.70,"76,330"
33-2011,Firefighters,"321,570",23.85,"49,620"
33-2021,Fire Inspectors and Investigators,"12,530",30.05,"62,510"
