occ_code,occ_title,tot_emp,h_median,a_median
45-4021,Fallers,"4,680",21.19,"44,080"
45-4022,Logging Equipment Operators,"25,730",19.48,"40,510"
45-4023,Log Graders and Scalers,"3,330",18.38,"38,220"
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,"598,210",31.36,"65,230"
47-2011,Boilermakers,"13,870",29.88,"62,150"
47-2021,Brickmasons and Blockmasons,"63,930",24.49,"50,950"
47-2022,Stonemasons,"12,310",19.82,"41,220"
47-2031,Carpenters,"718,730",22.40,"46,590"
47-2041,Carpet Installers,"26,100",18.92,"39,340"
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles","14,050",20.56,"42,760"
47-2043,Floor Sanders and Finishers,"4,460",18.04,"37,510"
47-2044,Tile and Marble Setters,"39,130",20.12,"41,840"
47-2051,Cement Masons and Concrete Finishers,"186,400",20.67,"43,000"
47-2053,Terrazzo Workers and Finishers,"2,730",20.43,"42,500"
47-2061,Construction Laborers,"1,001,470",17.21,"35,800"
47-2071,"Paving, Surfacing, and Tamping Equipment Operators","46,760",19.13,"39,780"
47-2072,Pile-Driver Operators,"3,450",28.21,"58,680"
47-2073,Operating Engineers and Other Construction Equipment Operators,"383,480",22.98,"47,810"
47-2081,Drywall and Ceiling Tile Installers,"101,900",21.03,"43,730"
47-2082,Tapers,"18,320",26.48,"55,080"
47-2111,Electricians,"655,840",26.53,"55,190"
47-2121,Glaziers,"50,940",20.94,"43,550"
47-2131,"Insulation Workers, Floor, Ceiling, and Wall","31,840",18.50,"38,480"
47-2132,"Insulation Workers, Mechanical","24,610",22.95,"47,740"
47-2141,"Painters, Construction and Maintenance","228,420",18.72,"38,940"
47-2142,Paperhangers,"2,780",18.31,"38,090"
47-2151,Pipelayers,"38,070",18.54,"38,560"
47-2152,"Plumbers, Pipefitters, and Steamfitters","438,070",25.92,"53,910"
47-2161,Plasterers and Stucco Masons,"24,870",20.93,"43,540"
47-2171,Reinforcing Iron and Rebar Workers,"18,360",23.23,"48,320"
47-2181,Roofers,"128,680",19.22,"39,970"
47-2211,Sheet Metal Workers,"131,570",23.30,"48,460"
47-2221,Structural Iron and Steel Workers,"77,410",25.95,"53,970"
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","24,340",16.05,"33,380"
47-3012,Helpers--Carpenters,"33,020",14.85,"30,880"
47-3013,Helpers--Electricians,"75,970",15.10,"31,410"
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","10,600",14.40,"29,960"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","54,710",14.89,"30,980"
47-3016,Helpers--Roofers,"8,630",14.61,"30,390"
47-4011,Construction and Building Inspectors,"104,090",28.70,"59,700"
47-4021,Elevator Installers and Repairers,"26,830",38.36,"79,780"
47-4031,Fence Erectors,"23,530",16.73,"34,800"
47-4041,Hazardous Materials Removal Workers,"44,000",20.21,"42,030"
47-4051,Highway Maintenance Workers,"149,260",19.08,"39,690"
47-4061,Rail-Track Laying and Maintenance Equipment Operators,"14,410",27.37,"56,930"
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,"27,090",18.74,"38,970"
47-5011,"Derrick Operators, Oil and Gas","11,310",22.17,"46,120"
47-5012,"Rotary Drill Operators, Oil and Gas","18,010",25.86,"53,800"
47-5013,"Service Unit Operators, Oil, Gas, and Mining","49,710",23.01,"47,860"
47-5021,"Earth Drillers, Except Oil and Gas","18,270",21.36,"44,430"
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters","5,640",23.97,"49,860"
47-5041,Continuous Mining Machine Operators,"14,710",26.21,"54,520"
47-5042,Mine Cutting and Channeling Machine Operators,"4,920",22.68,"47,170"
47-5051,"Rock Splitters, Quarry","4,870",16.71,"34,750"
47-5061,"Roof Bolters, Mining","3,250",28.20,"58,650"
47-5071,"Roustabouts, Oil and Gas","54,810",18.07,"37,580"
47-5081,Helpers--Extraction Workers,"15,930",17.48,"36,350"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers","471,820",31.80,"66,140"
49-2011,"Computer, Automated Teller, and Office Machine Repairers","102,810",18.50,"38,480"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers","13,930",26.39,"54,890"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers","229,890",26.97,"56,100"
49-2091,Avionics Technicians,"18,860",30.84,"64,140"
49-2092,"Electric Motor, Power Tool, and Related Repairers","15,800",20.60,"42,840"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment","11,680",29.01,"60,340"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","59,520",27.94,"58,110"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","22,980",38.56,"80,200"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles","10,880",17.11,"35,590"
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,"26,070",18.35,"38,160"
49-2098,Security and Fire Alarm Systems Installers,"70,900",22.69,"47,190"
49-3011,Aircraft Mechanics and Service Technicians,"131,690",30.25,"62,920"
49-3021,Automotive Body and Related Repairers,"142,060",20.55,"42,730"
49-3022,Automotive Glass Installers and Repairers,"19,640",16.43,"34,170"
49-3023,Automotive Service Technicians and Mechanics,"648,050",19.57,"40,710"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,"264,860",22.76,"47,350"
49-3041,Farm Equipment Mechanics and Service Technicians,"34,300",19.54,"40,630"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","140,260",24.96,"51,920"
49-3043,Rail Car Repairers,"24,720",27.03,"56,220"
49-3051,Motorboat Mechanics and Service Technicians,"22,280",19.32,"40,180"
49-3052,Motorcycle Mechanics,"15,090",17.69,"36,790"
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,"31,760",17.02,"35,400"
49-3091,Bicycle Repairers,"12,200",13.92,"28,960"
49-3092,Recreational Vehicle Service Technicians,"15,560",18.35,"38,160"
49-3093,Tire Repairers and Changers,"111,620",13.41,"27,890"
49-9011,Mechanical Door Repairers,"22,670",19.71,"41,010"
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door","51,730",26.96,"56,070"
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","324,310",22.89,"47,610"
49-9031,Home Appliance Repairers,"31,130",18.88,"39,270"
49-9041,Industrial Machinery Mechanics,"362,440",25.16,"52,340"
49-9043,"Maintenance Workers, Machinery","80,270",22.63,"47,060"
49-9044,Millwrights,"43,810",26.47,"55,060"
49-9045,"Refractory Materials Repairers, Except Brickmasons","1,120",25.09,"52,190"
49-9051,Electrical Power-Line Installers and Repairers,"114,800",34.09,"70,910"
49-9052,Telecommunications Line Installers and Repairers,"118,200",28.02,"58,280"
49-9061,Camera and Photographic Equipment Repairers,"3,690",19.53,"40,620"
49-9062,Medical Equipment Repairers,"46,320",23.66,"49,210"
49-9063,Musical Instrument Repairers and Tuners,"8,450",17.47,"36,330"
49-9064,Watch Repairers,"2,610",19.19,"39,910"
49-9071,"Maintenance and Repair Workers, General","1,384,240",18.42,"38,300"
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","32,920",16.61,"34,560"
49-9092,Commercial Divers,"3,380",23.63,"49,140"
49-9093,"Fabric Menders, Except Garment",400,14.77,"30,730"
49-9094,Locksmiths and Safe Repairers,"16,970",19.93,"41,450"
49-9095,Manufactured Building and Mobile Home Installers,"2,920",15.40,"32,040"
49-9096,Riggers,"20,970",24.22,"50,370"
49-9097,Signal and Track Switch Repairers,"7,730",33.89,"70,490"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers","105,040",14.16,"29,450"
51-1011,First-Line Supervisors of Production and Operating Workers,"622,790",29.05,"60,420"
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","43,150",25.64,"53,340"
51-2021,"Coil Winders, Tapers, and Finishers","12,190",16.54,"34,400"
51-2031,Engine and Other Machine Assemblers,"48,200",21.34,"44,380"
51-2041,Structural Metal Fabricators and Fitters,"76,090",18.89,"39,290"
51-2091,Fiberglass Laminators and Fabricators,"21,190",16.59,"34,500"
51-2093,Timing Device Assemblers and Adjusters,780,16.66,"34,650"
51-3011,Bakers,"180,010",12.75,"26,520"
51-3021,Butchers and Meat Cutters,"133,670",15.18,"31,580"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","156,440",12.96,"26,950"
51-3023,Slaughterers and Meat Packers,"75,550",13.59,"28,260"
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","21,060",14.83,"30,840"
51-3092,Food Batchmakers,"160,160",14.29,"29,720"
51-3093,Food Cooking Machine Operators and Tenders,"32,260",14.48,"30,120"
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic","148,150",19.26,"40,070"
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","23,770",25.57,"53,190"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","75,610",16.90,"35,150"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","18,330",18.70,"38,900"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","26,700",18.58,"38,650"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","186,640",16.57,"34,460"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","11,400",18.28,"38,020"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","71,870",16.76,"34,850"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","29,510",18.84,"39,180"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","19,440",20.95,"43,590"
51-4041,Machinists,"384,350",20.97,"43,630"
51-4051,Metal-Refining Furnace Operators and Tenders,"17,670",19.82,"41,220"
51-4052,"Pourers and Casters, Metal","7,850",18.14,"37,730"
51-4061,"Model Makers, Metal and Plastic","5,210",26.98,"56,130"
51-4062,"Patternmakers, Metal and Plastic","2,880",22.04,"45,840"
51-4071,Foundry Mold and Coremakers,"15,600",17.04,"35,430"
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","164,110",15.13,"31,480"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","133,840",17.01,"35,390"
51-4111,Tool and Die Makers,"72,700",25.36,"52,750"
51-4121,"Welders, Cutters, Solderers, and Brazers","389,190",19.89,"41,380"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","35,080",18.11,"37,670"
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","19,690",18.04,"37,520"
51-4192,"Layout Workers, Metal and Plastic","8,170",23.03,"47,900"
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","40,070",15.58,"32,420"
51-4194,"Tool Grinders, Filers, and Sharpeners","7,070",18.34,"38,140"
51-5111,Prepress Technicians and Workers,"29,990",19.43,"40,410"
51-5112,Printing Press Operators,"173,470",17.41,"36,220"
51-5113,Print Binding and Finishing Workers,"45,690",15.81,"32,890"
51-6011,Laundry and Dry-Cleaning Workers,"213,350",11.16,"23,210"
51-6021,"Pressers, Textile, Garment, and Related Materials","38,320",11.23,"23,350"
51-6031,Sewing Machine Operators,"136,450",12.03,"25,030"
51-6041,Shoe and Leather Workers and Repairers,"8,640",13.87,"28,840"
51-6042,Shoe Machine Operators and Tenders,"3,810",14.63,"30,430"
51-6051,"Sewers, Hand","5,350",13.78,"28,650"
51-6052,"Tailors, Dressmakers, and Custom Sewers","21,150",14.90,"31,000"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,"9,330",13.84,"28,780"
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders","13,310",13.57,"28,220"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","21,190",14.02,"29,160"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","31,650",13.90,"28,920"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","18,130",16.44,"34,200"
51-6092,Fabric and Apparel Patternmakers,"5,220",19.50,"40,560"
51-6093,Upholsterers,"32,870",16.58,"34,480"
51-7011,Cabinetmakers and Bench Carpenters,"102,100",16.70,"34,740"
51-7021,Furniture Finishers,"17,250",15.36,"31,950"
51-7031,"Model Makers, Wood",740,25.53,"53,100"
51-7032,"Patternmakers, Wood",530,29.30,"60,940"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood","52,260",14.18,"29,500"
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","78,980",14.29,"29,730"
51-8011,Nuclear Power Reactor Operators,"6,280",45.36,"94,350"
51-8012,Power Distributors and Dispatchers,"11,620",41.54,"86,410"
51-8013,Power Plant Operators,"33,920",38.27,"79,610"
51-8021,Stationary Engineers and Boiler Operators,"31,710",29.06,"60,440"
51-8031,Water and Wastewater Treatment Plant and System Operators,"123,650",22.49,"46,780"
51-8091,Chemical Plant and System Operators,"28,190",29.84,"62,060"
51-8092,Gas Plant Operators,"14,620",34.17,"71,070"
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","38,930",34.07,"70,860"
51-8099,"Plant and System Operators, All Other","12,270",27.45,"57,100"
51-9011,Chemical Equipment Operators and Tenders,"82,880",23.45,"48,770"
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","49,770",19.62,"40,810"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","31,890",17.50,"36,400"
51-9022,"Grinding and Polishing Workers, Hand","30,280",14.21,"29,550"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders","128,600",17.89,"37,210"
51-9031,"Cutters and Trimmers, Hand","10,580",14.13,"29,390"
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","60,840",16.64,"34,620"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","72,870",16.89,"35,120"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","17,730",18.83,"39,160"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","557,510",18.39,"38,250"
51-9071,Jewelers and Precious Stone and Metal Workers,"25,910",18.96,"39,440"
51-9081,Dental Laboratory Technicians,"34,480",19.44,"40,440"
51-9082,Medical Appliance Technicians,"14,670",18.84,"39,190"
51-9083,Ophthalmic Laboratory Technicians,"27,960",15.30,"31,830"
51-9111,Packaging and Filling Machine Operators and Tenders,"395,330",14.50,"30,160"
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","88,560",16.73,"34,800"
51-9122,"Painters, Transportation Equipment","55,710",20.33,"42,280"
51-9123,"Painting, Coating, and Decorating Workers","12,200",14.93,"31,050"
51-9141,Semiconductor Processors,"25,730",17.92,"37,270"
51-9151,Photographic Process Workers and Processing Machine Operators,"16,680",14.03,"29,180"
51-9191,Adhesive Bonding Machine Operators and Tenders,"16,310",16.26,"33,820"
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","17,630",14.80,"30,790"
51-9193,Cooling and Freezing Equipment Operators and Tenders,"8,820",15.58,"32,410"
51-9194,Etchers and Engravers,"8,600",15.06,"31,330"
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","42,500",16.03,"33,340"
51-9196,"Paper Goods Machine Setters, Operators, and Tenders","97,960",18.62,"38,730"
51-9197,Tire Builders,"23,920",22.42,"46,630"
51-9198,Helpers--Production Workers,"350,410",13.33,"27,730"
53-1011,Aircraft Cargo Handling Supervisors,"8,920",23.37,"48,610"
53-2011,"Airline Pilots, Copilots, and Flight Engineers","82,890",*,"140,340"
53-2012,Commercial Pilots,"37,870",*,"82,240"
53-2021,Air Traffic Controllers,"22,390",59.87,"124,540"
53-2022,Airfield Operations Specialists,"9,960",25.10,"52,200"
53-2031,Flight Attendants,"118,770",*,"56,000"
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","15,380",12.38,"25,750"
53-3021,"Bus Drivers, Transit and Intercity","174,110",20.23,"42,080"
53-3022,"Bus Drivers, School or Special Client","504,150",15.58,"32,420"
53-3031,Driver/Sales Workers,"414,860",11.88,"24,700"
53-3032,Heavy and Tractor-Trailer Truck Drivers,"1,800,330",21.00,"43,680"
53-3033,Light Truck or Delivery Services Drivers,"915,310",15.78,"32,810"
53-3041,Taxi Drivers and Chauffeurs,"207,920",12.49,"25,980"
53-4011,Locomotive Engineers,"34,850",29.86,"62,100"
53-4012,Locomotive Firers,560,30.69,"63,820"
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers","5,690",25.30,"52,630"
53-4021,"Railroad Brake, Signal, and Switch Operators","14,270",27.53,"57,260"
53-4031,Railroad Conductors and Yardmasters,"42,360",30.26,"62,930"
53-4041,Subway and Streetcar Operators,"8,850",32.78,"68,170"
53-5011,Sailors and Marine Oilers,"32,220",19.66,"40,900"
53-5021,"Captains, Mates, and Pilots of Water Vessels","36,390",33.26,"69,180"
53-5022,Motorboat Operators,"2,510",24.18,"50,290"
53-5031,Ship Engineers,"8,740",34.20,"71,130"
53-6011,Bridge and Lock Tenders,"3,170",24.19,"50,320"
53-6021,Parking Lot Attendants,"145,900",11.47,"23,870"
53-6031,Automotive and Watercraft Service Attendants,"113,760",11.64,"24,200"
53-6041,Traffic Technicians,"7,290",22.39,"46,570"
53-6051,Transportation Inspectors,"29,990",35.47,"73,780"
53-6061,"Transportation Attendants, Except Flight Attendants","25,460",12.87,"26,760"
53-7011,Conveyor Operators and Tenders,"23,390",15.86,"32,980"
53-7021,Crane and Tower Operators,"44,410",26.03,"54,140"
53-7031,Dredge Operators,"1,190",21.76,"45,260"
53-7032,Excavating and Loading Machine and Dragline Operators,"46,090",21.28,"44,270"
53-7033,"Loading Machine Operators, Underground Mining","2,500",24.60,"51,160"
53-7041,Hoist and Winch Operators,"3,180",21.87,"45,490"
53-7051,Industrial Truck and Tractor Operators,"604,130",16.71,"34,750"
53-7061,Cleaners of Vehicles and Equipment,"378,850",11.79,"24,530"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","2,893,180",13.59,"28,260"
53-7063,Machine Feeders and Offbearers,"66,380",14.21,"29,560"
53-7064,"Packers and Packagers, Hand","663,970",11.82,"24,580"
53-7071,Gas Compressor and Gas Pumping Station Operators,"3,460",31.35,"65,210"
53-7072,"Pump Operators, Except Wellhead Pumpers","10,820",21.34,"44,380"
53-7073,Wellhead Pumpers,"13,280",25.72,"53,490"
53-7081,Refuse and Recyclable Material Collectors,"118,520",17.92,"37,260"
53-7111,Mine Shuttle Car Operators,"1,690",27.09,"56,340"
53-7121,"Tank Car, Truck, and Ship Loaders","9,000",18.38,"38,220"
